id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
9599,Robert C. O'Brien,Z for Zachariah,3.64,428,1029,3318,4253,2468,https://images.gr-assets.com/books/1420324231m/69477.jpg
9600,Dan Chaon,Await Your Reply,3.54,342,1322,3691,4434,1944,https://images.gr-assets.com/books/1320525555m/6251222.jpg
9601,"Alan Moore, Curt Swan, George Pérez, Kurt Schaffenberger",Superman: Whatever Happened to the Man of Tomorrow?,4.14,186,432,1901,3213,4769,https://images.gr-assets.com/books/1308365122m/161275.jpg
9602,Nevada Barr,"Track of the Cat (Anna Pigeon, #1)",3.86,197,626,3529,5218,3533,https://images.gr-assets.com/books/1326365792m/76706.jpg
9603,Shelly Laurenston,"The Mane Event (Pride, #1)",3.96,662,1119,3849,6468,7388,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9604,Scott Anderson,"Lawrence in Arabia: War, Deceit, Imperial Folly, and the Making of the Modern Middle East",4.12,133,315,1413,3661,3563,https://images.gr-assets.com/books/1363837257m/17262206.jpg
9605,"Ralph Waldo Emerson, Peter Norberg",Essays and Poems,3.98,307,700,2449,3925,4586,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9606,"Gabriel García Márquez, Gregory Rabassa",Innocent Erendira and Other Stories,3.89,179,579,2470,3944,3044,https://images.gr-assets.com/books/1410129032m/31741.jpg
9607,Charles Stross,"Singularity Sky (Eschaton, #1)",3.81,151,687,2924,4749,2658,https://images.gr-assets.com/books/1446324638m/81992.jpg
9608,Cynthia J. McGean,Henry & Ramona,4.14,125,277,2425,3384,4895,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9609,Glen Cook,"The White Rose (The Chronicles of the Black Company, #3)",4.19,52,256,1901,5044,4810,https://images.gr-assets.com/books/1327901074m/400906.jpg
9610,حسن الجندي,"""حكايات فرغلي المستكاوي ""حكايتى مع كفر السحلاوية",3.57,532,970,2188,2404,2194,https://images.gr-assets.com/books/1360260051m/17339590.jpg
9611,Ally Carter,"All Fall Down (Embassy Row, #1)",3.82,317,1221,4414,5645,4787,https://images.gr-assets.com/books/1411070285m/22571275.jpg
9612,"Stendhal, Richard Howard, Robert Andrew Parker",The Charterhouse of Parma,3.83,324,881,2712,3770,3495,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9613,Heather Gudenkauf,Little Mercies,3.99,149,416,2396,4962,3610,https://images.gr-assets.com/books/1399313845m/18722887.jpg
9614,Alex Berenson,"The Faithful Spy (John Wells, #1)",3.97,146,427,2377,4792,3353,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9615,"Jacqueline Briggs Martin, Mary Azarian",Snowflake Bentley,4.16,180,437,1992,3659,5235,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9616,Jenny O'Connell,The Book of Luke,3.73,382,1169,3725,3697,3784,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9617,Karen Kingsbury,"Fame (Firstborn, #1)",4.34,82,247,1464,3282,5936,https://images.gr-assets.com/books/1406506537m/182683.jpg
9618,G.A. Aiken,"Dragon Actually (Dragon Kin, #1)",3.96,629,1237,4089,6703,7713,https://images.gr-assets.com/books/1317852862m/3295695.jpg
9619,Leisa Rayven,"Bad Romeo (Starcrossed, #1)",4.1,406,753,2568,5490,6896,https://images.gr-assets.com/books/1413547825m/21411058.jpg
9620,Elizabeth Bishop,The Complete Poems 1927-1979,4.19,190,379,1616,3062,4813,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9621,Anita Diamant,Day After Night,3.65,160,944,3859,4664,2137,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9622,Terry Brooks,"Jarka Ruus (High Druid of Shannara, #1)",3.96,81,492,3021,4491,3810,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9623,Thomas Wolfe,"Look Homeward, Angel",3.94,312,708,2051,3601,3758,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9624,"William McDonough, Michael Braungart",Cradle to Cradle: Remaking the Way We Make Things,4.1,54,291,1479,3134,3054,https://images.gr-assets.com/books/1417605547m/5571.jpg
9625,Marc Weissbluth,"Healthy Sleep Habits, Happy Child",3.9,260,630,1871,2954,3061,https://images.gr-assets.com/books/1380493934m/831635.jpg
9626,"Warren Ellis, Darick Robertson, Rodney Ramos, Keith Akin","Transmetropolitan, Vol. 4: The New Scum (Transmetropolitan, #4)",4.41,103,225,1258,3304,6890,https://images.gr-assets.com/books/1452027299m/22421.jpg
9627,Maggie O'Farrell,The Hand That First Held Mine,3.87,160,571,2643,4527,2840,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9628,Jeffrey Archer,The Fourth Estate,3.72,133,647,3033,3886,2040,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9629,"Monty Roberts, Lucy Grealy, Lawrence Scanlan",The Man Who Listens to Horses,4.1,152,338,1822,3325,3876,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9630,David Foster Wallace,Oblivion,4.07,124,372,1690,4321,3537,https://images.gr-assets.com/books/1311905400m/6749.jpg
9631,"Michael Baigent, Richard Leigh, Henry Lincoln","Holy Blood, Holy Grail",3.47,632,1323,3098,2992,2184,https://images.gr-assets.com/books/1320394892m/606818.jpg
9632,"Don DeLillo, محمدصادق رئیسی",Falling Man,3.2,634,1771,3904,3060,1030,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9633,"James Frey, Nils Johnson-Shelton","The Calling (Endgame, #1)",3.77,538,1078,2900,4668,3750,https://images.gr-assets.com/books/1411272821m/20510241.jpg
9634,Lauren Oliver,"Annabel (Delirium, #0.5)",3.78,157,1033,4460,4731,3906,https://images.gr-assets.com/books/1348079378m/15820492.jpg
9635,Jonathan Kellerman,"Mystery (Alex Delaware, #26)",3.87,109,525,3163,4378,3104,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9636,Nancy Farmer,"The Sea of Trolls (Sea of Trolls, #1)",4.0,232,598,2730,4826,4570,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9637,"Henning Mankell, Laurie Thompson",The Man from Beijing,3.47,387,1519,3826,3986,1867,https://images.gr-assets.com/books/1320494101m/6596542.jpg
9638,Kass Morgan,"Day 21 (The 100, #2)",3.75,287,1140,4134,5214,3682,https://images.gr-assets.com/books/1403530593m/20454076.jpg
9639,Fannie Flagg,Daisy Fay and the Miracle Man ,3.94,129,565,2901,4369,3761,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9640,"Tom Clancy, Peter Telep","Against All Enemies (Max Moore, #1)",3.95,153,492,2123,3556,3135,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9641,Kate Hamer,The Girl in the Red Coat,3.53,338,1176,3576,4106,1809,https://images.gr-assets.com/books/1412251739m/23289469.jpg
9642,George Orwell,Keep the Aspidistra Flying,3.87,121,615,2926,4556,3043,https://images.gr-assets.com/books/1331244097m/9648.jpg
9643,Orson Scott Card,"The Gate Thief (Mither Mages, #2)",3.77,183,736,2963,4413,2501,https://images.gr-assets.com/books/1360823446m/15793068.jpg
9644,"Cynthia Hand, Brodi Ashton, Jodi Meadows","My Lady Jane (The Lady Janies, #1)",4.12,181,557,2533,6090,6072,https://images.gr-assets.com/books/1444923765m/22840421.jpg
9645,Martin Amis,Time's Arrow,3.78,248,810,2820,4018,2828,https://images.gr-assets.com/books/1353213337m/23031.jpg
9646,Marcia Clark,"Blood Defense (Samantha Brinkman, #1)",3.81,404,794,2868,4632,3351,https://images.gr-assets.com/books/1454358207m/27207654.jpg
9647,Robert Cormier,I Am the Cheese,3.74,431,1010,3286,4616,3341,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9648,Eldridge Cleaver,Soul on Ice,3.95,258,513,2356,3509,3649,https://images.gr-assets.com/books/1417410878m/75162.jpg
9649,"Baruch Spinoza, Edwin M. Curley, Stuart Hampshire, Edwin Curley",Ethics,4.01,210,572,2091,3122,3918,https://images.gr-assets.com/books/1462223700m/205218.jpg
9650,Geraldine Brooks,Nine Parts of Desire: The Hidden World of Islamic Women,4.04,127,364,2175,4654,3690,https://images.gr-assets.com/books/1403182793m/337615.jpg
9651,Jessi Klein,You'll Grow Out of It,3.83,155,597,2809,4576,2632,https://images.gr-assets.com/books/1462261735m/27170141.jpg
9652,R.L. Mathewson,"Truce (Neighbor from Hell, #4)",4.34,164,432,2463,7298,10986,https://images.gr-assets.com/books/1378997763m/17352874.jpg
9653,"Andre Norton, Mercedes Lackey","The Elvenbane (Halfblood Chronicles, #1)",3.94,177,721,3300,4572,4501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9654,"Carlos Ruiz Zafón, Lucia Graves","The Midnight Palace (Niebla, #2)",3.58,267,1301,4047,4117,2405,https://images.gr-assets.com/books/1290459336m/9440324.jpg
9655,Clive Cussler,"Treasure (Dirk Pitt, #9)",3.92,50,381,3200,4916,3170,https://images.gr-assets.com/books/1314486012m/85737.jpg
9656,Lynsay Sands,"Vampire, Interrupted (Argeneau #9)",4.32,75,339,2384,5254,8732,https://images.gr-assets.com/books/1410758592m/1422252.jpg
9657,John Sandford,"Invisible Prey (Lucas Davenport, #17)",4.11,51,199,2357,5597,4315,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9658,Alastair Reynolds,"The Prefect (Prefect Dreyfus Emergency, #1)",4.15,67,234,1733,5037,4048,https://images.gr-assets.com/books/1327988786m/89195.jpg
9659,Jane Shemilt,Daughter,3.51,303,1239,3706,3911,1784,https://images.gr-assets.com/books/1403779092m/20505127.jpg
9660,"Darwyn Cooke, Dave Stewart, Jared K. Fletcher","DC: The New Frontier, Volume 1",4.17,125,377,1639,3099,4392,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9661,"Betty MacDonald, Alexandra Boiger","Hello, Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #4)",4.24,170,391,2233,3807,6712,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9662,Jennifer Estep,"Web of Lies (Elemental Assassin, #2)",4.1,149,568,3427,7670,6826,https://images.gr-assets.com/books/1262902266m/6933152.jpg
9663,Rebecca Wells,Ya Yas in Bloom,3.6,238,1123,3958,3648,2402,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9664,Hergé,"The Secret of the Unicorn (Tintin, #11)",4.26,36,214,1679,3880,5011,https://images.gr-assets.com/books/1344263637m/179174.jpg
9665,"Megan McDonald, Peter H. Reynolds","Judy Moody (Judy Moody, # 1)",3.92,330,812,3016,3542,4649,https://images.gr-assets.com/books/1320540601m/930612.jpg
9666,Christian Rudder,Dataclysm: Who We Are (When We Think No One's Looking),3.72,217,576,2347,3435,1834,https://images.gr-assets.com/books/1407763834m/21480734.jpg
9667,"Friedrich Nietzsche, Walter Kaufmann",The Gay Science,4.26,110,290,1422,3119,4835,https://images.gr-assets.com/books/1374735026m/94578.jpg
9668,N.K. Jemisin,"The Broken Kingdoms (Inheritance, #2)",4.04,99,429,2606,6326,4314,https://images.gr-assets.com/books/1282522268m/7904453.jpg
9669,Sarah Lotz,"The Three (The Three, #1)",3.32,648,1574,3467,3211,1516,https://images.gr-assets.com/books/1379897631m/18453110.jpg
9670,"Donald J. Trump, Tony Schwartz",Trump: The Art of the Deal,3.66,614,965,2595,2948,2933,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9671,Enid Blyton,"First Term at Malory Towers (Malory Towers, #1)",4.07,122,435,2613,4150,4674,https://images.gr-assets.com/books/1300285044m/190344.jpg
9672,John Marsden,"The Night Is for Hunting (Tomorrow, #6)",4.15,33,299,2211,4868,4721,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9673,"Natsuki Takaya, Alethea Nibley, Athena Nibley","Fruits Basket, Vol. 3",4.38,78,314,1941,4102,8382,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9674,Alex Lake,After Anna,3.7,340,1040,3058,4089,2808,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9675,"Brian Herbert, Kevin J. Anderson",House Corrino (Prelude to Dune #3),3.64,492,1123,3497,3930,2905,https://images.gr-assets.com/books/1298689043m/20252.jpg
9676,J.D. Robb,"Fantasy in Death (In Death, #30)",4.25,87,354,2518,5860,7549,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9677,Mike Carey,"The Devil You Know (Felix Castor, #1)",3.8,227,756,3389,5499,3008,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9678,"J. Lynn, Jennifer L. Armentrout","Tempting the Player (Gamble Brothers, #2)",4.06,124,597,3732,7277,6396,https://images.gr-assets.com/books/1351035223m/16031679.jpg
9679,"Anonymous, Juan Mascaró",The Upanishads: Translations from the Sanskrit,4.2,87,341,1669,2993,4577,https://images.gr-assets.com/books/1327881361m/290882.jpg
9680,Arianna Huffington,"Thrive: The Third Metric to Redefining Success and Creating a Life of Well-Being, Wisdom, and Wonder",3.68,328,860,2733,3316,2354,https://images.gr-assets.com/books/1400873884m/18594634.jpg
9681,Julie Hockley,"Crow's Row (Crow's Row, #1)",4.11,600,946,2656,5476,8238,https://images.gr-assets.com/books/1348076628m/12389310.jpg
9682,Mark Walden,"H.I.V.E. Higher Institute of Villainous Education (H.I.V.E., #1)",4.06,277,589,2327,3987,5015,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9683,تامر إبراهيم,صانع الظلام,3.81,340,651,2088,3122,2685,https://images.gr-assets.com/books/1353871855m/16170522.jpg
9684,Terry Goodkind,The Law of Nines,3.6,531,1182,2862,3155,2631,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9685,John D. MacDonald,Cape Fear,4.07,119,394,2117,3840,4005,https://images.gr-assets.com/books/1396110398m/434229.jpg
9686,Enid Blyton,"Five Go Adventuring Again (Famous Five, #2)",3.99,85,490,3028,4133,4097,https://images.gr-assets.com/books/1408923873m/17487.jpg
9687,Jana Oliver,"Forsaken (The Demon Trappers, #1)",4.0,474,946,3323,5587,6622,https://images.gr-assets.com/books/1282919119m/8534899.jpg
9688,Pema Chödrön,The Places That Scare You: A Guide to Fearlessness in Difficult Times,4.3,97,275,1197,3236,5008,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9689,James Agee,A Death in the Family,3.92,257,759,2634,4060,3968,https://images.gr-assets.com/books/1327885315m/113091.jpg
9690,Andrea Kettenmann,Frida Kahlo: 1907-1954 Pain and Passion,4.15,159,350,1470,2482,3940,https://images.gr-assets.com/books/1365526293m/772976.jpg
9691,Chitra Banerjee Divakaruni,The Mistress of Spices,3.48,445,1317,3504,3356,1976,https://images.gr-assets.com/books/1488839181m/94669.jpg
9692,Gwen Hayes,"Falling Under (Falling Under, #1)",3.78,628,1488,3827,4670,5260,https://images.gr-assets.com/books/1326079906m/7948945.jpg
9693,Sandi Lynn,"Forever You (Forever, #2)",4.19,223,610,2526,5306,7441,https://images.gr-assets.com/books/1364058599m/17404452.jpg
9694,Karen   White,"The House on Tradd Street (Tradd Street, #1)",3.96,201,606,3011,5411,4294,https://images.gr-assets.com/books/1344586077m/4505161.jpg
9695,Kiyo Fujiwara,"Wild Ones, Vol. 1 (Wild Ones, #1)",4.03,312,675,2190,2745,4837,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9696,Brent Weeks,"Perfect Shadow (Night Angel, #0.5)",4.18,55,265,1944,4013,4569,https://images.gr-assets.com/books/1360569222m/10843036.jpg
9697,Nicky Charles,"The Finding (Law of the Lycans, #5)",4.18,114,446,2227,4764,5926,https://images.gr-assets.com/books/1344881680m/10468258.jpg
9698,Dr. Seuss,I Can Read With My Eyes Shut!,4.17,164,615,2894,3787,7005,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9699,Isaac Asimov,Nemesis,3.75,117,731,3583,4484,2534,https://images.gr-assets.com/books/1336582027m/302625.jpg
9700,Michael D. Watkins,"The First 90 Days, Updated and Expanded: Critical Success Strategies for New Leaders at All Levels",3.81,151,609,2482,3473,2390,https://images.gr-assets.com/books/1354903827m/15824358.jpg
9701,Claudia Gray,Lost Stars (Star Wars: Journey to the Force Awakens),4.25,63,262,1369,4224,4800,https://images.gr-assets.com/books/1462731623m/25067046.jpg
9702,Jean Lee Latham,"Carry On, Mr. Bowditch",4.11,263,504,2218,3970,5353,https://images.gr-assets.com/books/1480110382m/128048.jpg
9703,Meredith Wild,"Hard Limit (Hacker, #4)",4.34,88,271,1571,4041,6771,https://images.gr-assets.com/books/1414594976m/22474626.jpg
9704,Lisi Harrison,"The Pretty Committee Strikes Back (The Clique, #5)",3.84,369,1110,3215,3278,4508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9705,AnnaLisa Grant,The Lake (The Lake Trilogy #1),3.75,486,944,2157,2790,3140,https://images.gr-assets.com/books/1461854990m/17794657.jpg
9706,Penelope Ward,"Jake Undone (Jake, #1)",4.15,208,599,2797,6857,7382,https://images.gr-assets.com/books/1374834443m/18243828.jpg
9707,Margaret Edson,Wit,4.2,167,383,1659,3563,5129,https://images.gr-assets.com/books/1327908183m/171201.jpg
9708,Lisi Harrison,"Dial L for Loser (The Clique, #6)",3.8,397,1114,3113,3104,4164,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9709,The Harvard Lampoon,The Hunger Pains: A Parody,3.89,730,770,1476,1660,4197,https://images.gr-assets.com/books/1344395623m/13031445.jpg
9710,James Herbert,"The Rats (Rats, #1)",3.92,209,692,2899,4173,3999,https://images.gr-assets.com/books/1356454885m/397867.jpg
9711,Guy Gavriel Kay,"The Wandering Fire (The Fionavar Tapestry, #2)",4.11,118,504,2391,4747,5158,https://images.gr-assets.com/books/1389962006m/104088.jpg
9712,Ilona Andrews,"Magic Binds (Kate Daniels, #9)",4.57,28,66,894,4089,9448,https://images.gr-assets.com/books/1454609590m/17333174.jpg
9713,M. Leighton,"The Wild Ones (The Wild Ones, #1)",3.94,277,859,3850,6528,5386,https://images.gr-assets.com/books/1343215803m/15761241.jpg
9714,David James Duncan,The River Why,4.24,120,330,1116,2696,4113,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9715,Chris Cleave,Incendiary,3.59,399,1075,3168,4191,2071,https://images.gr-assets.com/books/1320474372m/701738.jpg
9716,Stephen Davis,Hammer of the Gods,3.83,169,543,2464,3277,2544,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9717,C.J. Sansom,Winter in Madrid,3.79,196,703,2545,4229,2399,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9718,"Gretchen Rubin, Käthe Mazur","Happier at Home: Kiss More, Jump More, Abandon a Project, Read Samuel Johnson, and My Other Experiments in the Practice of Everyday Life",3.48,372,1563,4144,3844,2102,https://images.gr-assets.com/books/1344014249m/13414599.jpg
9719,Jojo Moyes,Silver Bay,3.62,229,981,4096,4594,2133,https://images.gr-assets.com/books/1415583591m/2895896.jpg
9720,"Adolfo Bioy Casares, Suzanne Jill Levine, Jorge Luis Borges, Ruth L.C. Simms, Norah Borges de Torre",The Invention of Morel,4.05,120,497,2091,4282,4052,https://images.gr-assets.com/books/1327960951m/94486.jpg
9721,Antony Beevor,The Fall of Berlin 1945,4.27,59,149,1255,3843,4270,https://images.gr-assets.com/books/1312049741m/42661.jpg
9722,John Irving,The Water-Method Man,3.34,285,1524,4253,3031,1291,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9723,Orson Scott Card,"A War of Gifts (Ender's Saga, #1.1)",3.66,194,1041,4302,4429,2624,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9724,Dav Pilkey,"Captain Underpants and the Perilous Plot of Professor Poopypants (Captain Underpants, #4)",4.12,276,594,1890,2474,5175,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9725,Neal Shusterman,"UnDivided (Unwind, #4)",4.48,47,133,1076,3981,7794,https://images.gr-assets.com/books/1392097377m/17950614.jpg
9726,Leslie Jamison,The Empathy Exams: Essays,3.62,478,1154,2408,3217,2487,https://images.gr-assets.com/books/1405924561m/17934655.jpg
9727,Bernard Cornwell,"Heretic (The Grail Quest, #3)",4.11,42,252,2070,4737,3958,https://images.gr-assets.com/books/1382119406m/261083.jpg
9728,Nora Roberts,"Bay of Sighs (The Guardians Trilogy, #2)",4.15,104,345,2033,4033,4685,https://images.gr-assets.com/books/1458263001m/27209407.jpg
9729,Courtney Milan,"The Duchess War (Brothers Sinister, #1)",3.82,369,987,4012,6339,4274,https://images.gr-assets.com/books/1363009176m/13489919.jpg
9730,Bisco Hatori,"Millennium Snow, Vol. 1",4.04,376,745,2266,2617,5355,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9731,Carl Hiaasen,Double Whammy,3.92,86,388,2687,4763,2814,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9732,Henry Hazlitt,Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,4.22,200,393,1425,3069,5042,https://images.gr-assets.com/books/1320423284m/3028.jpg
9733,Lara Adrian,"Darker After Midnight (Midnight Breed, #10)",4.37,76,240,1966,5635,8831,https://images.gr-assets.com/books/1313987798m/12042279.jpg
9734,Robert Muchamore,"Mad Dogs (Cherub, #8)",4.25,64,279,1663,3585,5122,https://images.gr-assets.com/books/1417330634m/2025787.jpg
9735,Marko Kloos,"Lines of Departure (Frontlines, #2)",4.08,35,237,1892,4734,3259,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9736,Julia Claiborne Johnson,Be Frank With Me,3.9,112,540,2588,5197,2847,https://images.gr-assets.com/books/1449425543m/25817528.jpg
9737,Grant Naylor,Better than Life (Red Dwarf #2),4.05,59,344,2216,3881,3569,https://images.gr-assets.com/books/1301794541m/73051.jpg
9738,Kylie Scott,"Dirty (Dive Bar, #1)",3.92,268,874,4007,7074,5124,https://images.gr-assets.com/books/1444317627m/25671827.jpg
9739,Eric S. Nylund,Halo: Ghosts of Onyx,4.15,55,305,1627,3260,3702,https://images.gr-assets.com/books/1317792529m/94798.jpg
9740,Rick Riordan,"Percy Jackson and the Sword of Hades (Percy Jackson and the Olympians, #4.5)",4.28,125,368,2272,4327,7530,https://images.gr-assets.com/books/1327349413m/4837112.jpg
9741,"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 13: Too Far Gone",4.23,43,211,1882,4758,5176,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9742,Cathy Hopkins,"Mates, Dates, and Inflatable Bras (Mates, Dates, #1)",3.73,246,908,3411,2912,3095,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9743,Tim O'Brien,Going After Cacciato,3.9,113,499,2317,4052,2705,https://images.gr-assets.com/books/1399498199m/3446.jpg
9744,"Roger Lea MacBride, David Gilleece","Little House on Rocky Ridge (Little House: The Rocky Ridge Years, #1)",3.83,211,914,4243,4638,4242,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9745,Catherine Bybee,"Not Quite Dating (Not Quite, #1)",3.88,232,730,3347,5244,3906,https://images.gr-assets.com/books/1350588787m/15954546.jpg
9746,"Dr. Seuss, Theo LeSieg, Roy McKie",In a People House,4.13,113,607,2675,3009,5774,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9747,J.D. Robb,"Kindred in Death (In Death, #29)",4.31,50,214,2151,6031,7683,https://images.gr-assets.com/books/1348954491m/5943970.jpg
9748,Carl Hiaasen,Lucky You,3.84,85,456,3068,4712,2483,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9749,"Brian Herbert, Kevin J. Anderson",Hunters of Dune (Dune Chronicles #7),3.62,517,933,2922,3190,2524,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9750,Héctor Tobar,"Deep Down Dark: The Untold Stories of 33 Men Buried in a Chilean Mine, and the Miracle That Set Them Free",3.9,145,373,2084,3863,2341,https://images.gr-assets.com/books/1398199578m/20575440.jpg
9751,Francis A. Schaeffer,How Should We Then Live? The Rise and Decline of Western Thought and Culture,4.16,182,382,1566,3059,4450,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9752,Meg Wolitzer,Belzhar,3.46,477,1524,3832,3730,2071,https://images.gr-assets.com/books/1395326170m/20821376.jpg
9753,"Robert Coles, George Ford",The Story of Ruby Bridges,4.41,64,166,1214,2677,5787,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9754,Vladimir Nabokov,Invitation to a Beheading,3.94,145,553,2300,3844,3218,https://images.gr-assets.com/books/1405182507m/376561.jpg
9755,Pepper Winters,"Debt Inheritance (Indebted, #1)",3.79,1252,1458,3769,5465,6497,https://images.gr-assets.com/books/1395175825m/21400356.jpg
9756,Patricia Harman,The Midwife of Hope River,4.0,76,380,2216,5070,3250,https://images.gr-assets.com/books/1344449564m/13508021.jpg
9757,"Patty Lovell, David Catrow","Stand Tall, Molly Lou Melon",4.39,134,318,1327,2839,6861,https://images.gr-assets.com/books/1314105738m/1145862.jpg
9758,Isaac Asimov,The Complete Robot (Robot #0.3),4.34,30,112,1351,4169,5500,https://images.gr-assets.com/books/1405467461m/50091.jpg
9759,Nick Flynn,Another Bullshit Night in Suck City,3.77,221,718,2302,3340,2382,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9760,Beverly  Lewis,"The Covenant (Abram's Daughters, #1)",4.12,120,402,1977,3928,4455,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9761,Richard Llewellyn,How Green Was My Valley,4.16,148,432,1935,4155,5107,https://images.gr-assets.com/books/1440708862m/40496.jpg
